Pop growth,Pop growth 2004,Price index,Carbon Dioxide 2003,Export 1990,Export 2004,Elec 2003,GDP,GDP PPP,GDP pc,GDP pc growth rate,Fem Econo Rate,Fem Econo 1990,Fem Econo 2004,Health Exp,Babies,Internet 1990,Import 1990,Import 2004,Tertiary female ratio,Babies immunized,Manufactured Exp 2004,Foreign invest 2004,Military 2004,Public Health 2003,Private Health 2003,Primary export 2004,Public Health,Refugees asylum,Refugees origin,Armed forces,Parliament Women,Female Male income,House women 2006,Pop 1975,Pop 2004,Pop 2015,Tuberculosis detected,Tuberculosis cured 2004,Trad fuel,ODA pc donnor 2004,ODA to least dev 1990,ODA to least dev 2004,ODA received,ODA received pc
2.5,1.4,22.0,5.6,22.0,32.0,2304.0,163.4,504.2,2439.0,2.3,37.2,173.0,50.0,498.0,7.0,0.0,24.0,30.0,1.1,96.0,9.0,0.3,4.5,3.1,3.4,91.0,3.1,716.0,99.0,545.0,4.1,0.38,4.1,33.3,68.8,79.9,58.0,84.0,68803.0,0.0,0.0,0.0,189.4,2.8
2.4,1.5,11.6,5.1,23.0,40.0,929.0,84.6,213.7,2616.0,0.9,34.8,154.0,44.0,186.0,7.0,0.0,25.0,26.0,1.09,81.0,2.0,1.0,3.4,3.3,0.8,98.0,3.3,94.0,12.0,138.0,5.3,0.33,6.2,16.0,32.4,38.1,106.0,90.0,32358.0,0.0,0.0,0.0,312.6,9.7
3.1,2.3,4.9,2.7,28.0,35.0,1683.0,24.0,67.1,1293.0,1.5,38.0,133.0,44.0,116.0,6.0,0.0,28.0,34.0,0.81,98.0,11.0,1.1,6.6,2.5,2.6,87.0,2.5,26.0,16.0,308.0,12.0,0.33,12.0,7.5,18.6,23.8,46.0,88.0,18582.0,0.0,0.0,0.0,110.2,5.9
4.1,2.3,0.5,13.0,41.0,53.0,6749.0,250.6,331.1,10462.0,-0.1,17.3,116.0,22.0,578.0,11.0,0.0,32.0,25.0,1.5,97.0,12.0,7.0,8.3,3.0,1.0,88.0,2.5,241.0,0.0,200.0,0.0,0.15,0.0,7.3,24.0,30.8,40.0,79.0,23950.0,0.0,0.0,0.0,32.3,1.3
1.5,1.0,6.7,3.7,35.0,36.0,3092.0,94.1,175.3,5836.0,3.7,36.4,113.0,51.0,707.0,5.0,0.0,31.0,30.0,0.95,95.0,13.0,8.1,3.9,3.0,3.1,86.0,3.0,1.0,1.0,78.0,12.7,0.39,15.0,10.4,16.1,17.9,114.0,85.0,16124.0,0.0,0.0,0.0,49.1,3.0
2.4,-0.4,9.4,2.3,55.0,40.0,697.0,9.0,17.6,5073.0,4.2,45.7,80.0,67.0,375.0,10.0,0.0,50.0,32.0,0.85,90.0,34.0,0.5,3.8,3.3,2.3,66.0,3.3,3.0,0.0,9.0,11.1,0.36,11.1,0.9,1.8,1.7,67.0,77.0,1769.0,0.0,0.0,0.0,39.0,22.1
3.5,2.0,0.1,12.9,47.0,57.0,3817.0,24.3,38.7,9584.0,1.9,21.9,145.0,27.0,419.0,8.0,0.0,28.0,43.0,1.38,98.0,12.0,-0.1,12.0,2.7,0.5,87.0,2.7,0.0,0.0,42.0,7.8,0.18,2.4,0.9,2.5,3.2,123.0,90.0,2534.0,0.0,0.0,0.0,54.9,21.7
3.3,2.4,1.8,31.1,45.0,60.0,16379.0,55.7,47.7,22654.0,-0.4,48.0,138.0,56.0,567.0,7.0,0.0,58.0,33.0,2.72,97.0,62.0,7.0,7.9,2.7,0.8,36.0,2.7,2.0,0.0,16.0,1.5,0.37,1.5,1.0,2.6,3.4,83.0,62.0,2606.0,0.0,0.0,0.0,2.6,1.0
7.2,2.4,15.5,33.6,66.0,82.0,15878.0,104.2,103.9,24121.0,-0.5,37.4,149.0,41.0,623.0,15.0,0.0,41.0,65.0,3.24,94.0,62.0,7.0,2.4,2.5,0.8,36.0,2.5,0.0,0.0,51.0,0.0,0.24,0.0,0.5,4.3,5.6,17.0,64.0,4284.0,0.0,0.0,0.0,5.7,1.3
1.9,1.2,3.0,0.9,36.0,66.0,503.0,45.2,225.5,550.0,5.5,72.4,98.0,93.0,164.0,9.0,0.0,45.0,74.0,0.77,97.0,53.0,3.6,2.1,1.5,3.9,46.0,1.5,2.0,357.0,455.0,27.3,0.71,27.3,48.0,83.1,95.0,89.0,92.0,83123.0,0.0,0.0,0.0,1830.3,22.0
